Date_of_month,Selected words,Total_words
02 MARCH 2020,0,29857
11 MARCH 2020,0,19585
12 MARCH 2020,28,63533
13 MARCH 2020,44,37137
16 MARCH 2020,20,35261
17 MARCH 2020,0,27581
18 MARCH 2020,0,55953
19 MARCH 2020,0,36520
21 MARCH 2020,108,39241
23 MARCH 2020,66,35399
24 MARCH 2020,60,31101
26 MARCH 2020,0,25327
28 MARCH 2020,84,51985
30 MARCH 2020,126,27973
01 MAY 2020,0,2003
02 MAY 2020,0,1695
03 MAY 2020,0,3061
04 MAY 2020,36,26917
05 MAY 2020,108,26749
06 MAY 2020,32,36033
07 MAY 2020,96,23809
08 MAY 2020,0,2003
09 MAY 2020,0,1695
10 MAY 2020,0,3081
11 MAY 2020,0,2003
12 MAY 2020,0,2003
13 MAY 2020,0,2003
14 MAY 2020,0,2003
15 MAY 2020,0,2003
16 MAY 2020,0,1695
17 MAY 2020,0,3081
18 MAY 2020,0,2003
19 MAY 2020,0,2003
20 MAY 2020,80,34011
21 MAY 2020,96,25645
22 MAY 2020,0,2003
23 MAY 2020,0,1695
24 MAY 2020,0,3081
25 MAY 2020,0,2003
26 MAY 2020,0,2562
27 MAY 2020,0,2302
28 MAY 2020,0,2302
29 MAY 2020,0,2302
20 MAY 2020,80,34011
31 MAY 2020,0,11382
07 JUNE 2020,0,7905
08 JUNE 2020,0,781
9 JUNE 2020,0,0
10 JUNE 2020,0,2717
11 JUNE 2020,0,547
12 JUNE 2020,0,2717
13 JUNE 2020,0,2329
14 JUNE 2020,0,3493
15 JUNE 2020,0,2717
16 JUNE 2020,0,2523
17 JUNE 2020,0,0
18 JUNE 2020,0,794
19 JUNE 2020,0,1735
23 JUNE 2020,36,27649
24 JUNE 2020,72,20545
26 JUNE 2020,64,36177
27 JUNE 2020,70,54293
28 JUNE 2020,0,12370
29 JUNE 2020,36,26941
30 JUNE 2020,48,25441
01 JULY 2020,84,33755
02 JULY 2020,132,26665
04 JULY 2020,150,43951
06 JULY 2020,96,30625
07 JULY 2020,96,27505
08 JULY 2020,48,30253
09 JULY 2020,12,27229
10 JULY 2020,48,26413
11 JULY 2020,40,41971
12 JUNE 2020,0,13624
13 JULY 2020,72,25645
14 JULY 2020,48,31813
15 JULY 2020,60,30541
17 JULY 2020,96,24097
18 JULY 2020,160,42291
19 JULY 2020,76,14004
20 JULY 2020,70,22835
21 JULY 2020,0,2269
22 JULY 2020,24,26533
23 JULY 2020,0,1093
24 JULY 2020,98,33013
25 JULY 2020,50,38161
26 JULY 2020,0,16284
27 JULY 2020,0,603
28 JULY 2020,64,35649
29 JULY 2020,0,226
30 JULY 2020,12,601
